Make/Model,MPG_City,MPG_Hwy,Weight(lb),Seating,Horsepower,HP/Pound,Displacement,Cylinders,Origin,Transmission,EPA_Class,Length,Fuel,HEV,Turbocharger,Make,Model,GP1000M_City,GP1000M_Hwy
Jeep_Liberty,16,22,4198,5,210,0.05002382,3.7,6,1,M,suv4,176.9,gas,no,no,Jeep,Liberty,62.5,45.4545455
Jeep_Patriot,22,27,3251,5,173,0.0532144,2.4,4,1,M,suv4,173.6,gas,no,no,Jeep,Patriot,45.4545455,37.037037
Jeep_Wrangler,15,19,3785,4,202,0.05336856,3.8,6,1,A,suv4,162.9,gas,no,no,Jeep,Wrangler,66.6666667,52.6315789
Jeep_Wrangler,15,19,3760,4,202,0.0537234,3.8,6,1,M,suv4,162.9,gas,no,no,Jeep,Wrangler,66.6666667,52.6315789
Kia_Rio,25,35,2403,5,110,0.04577611,1.6,4,3,A,compact,166.9,gas,no,no,Kia,Rio,40,28.5714286
Kia_Rio,27,32,2365,5,110,0.04651163,1.6,4,3,M,compact,166.9,gas,no,no,Kia,Rio,37.037037,31.25
Kia_Optima,21,31,3179,5,162,0.05095942,2.4,4,3,A,midsize,186.4,gas,no,no,Kia,Optima,47.6190476,32.2580645
Kia_Optima,21,31,3142,5,162,0.05155952,2.4,4,3,M,midsize,186.4,gas,no,no,Kia,Optima,47.6190476,32.2580645
Kia_Optima,20,28,3287,5,185,0.05628232,2.7,6,3,A,midsize,186.4,gas,no,no,Kia,Optima,50,35.7142857
Kia_Spectra,24,32,2767,5,138,0.04987351,2,4,3,A,midsize,177.2,gas,no,no,Kia,Spectra,41.6666667,31.25
Kia_Spectra,23,30,2701,5,138,0.05109219,2,4,3,M,midsize,177.2,gas,no,no,Kia,Spectra,43.4782609,33.3333333
Kia_Amanti,17,24,3770,5,264,0.07002653,3.8,6,3,A,large,196.9,gas,no,no,Kia,Amanti,58.8235294,41.6666667
Kia_Rondo,19,26,3333,5,162,0.04860486,2.4,4,3,A,midsizewagon,179,gas,no,no,Kia,Rondo,52.6315789,38.4615385
Kia_Sedona,16,23,4365,6,250,0.05727377,3.8,6,3,A,minivan,189.4,gas,no,no,Kia,Sedona,62.5,43.4782609
Kia_Sorento,16,22,4068,5,242,0.05948869,3.3,6,3,A,suv2,180.7,gas,no,no,Kia,Sorento,62.5,45.4545455
Kia_Sorento,15,21,4083,5,262,0.0641685,3.8,6,3,A,suv2,180.7,gas,no,no,Kia,Sorento,66.6666667,47.6190476
Kia_Sportage,19,25,3254,5,140,0.04302397,2,4,3,A,suv2,171.3,gas,no,no,Kia,Sportage,52.6315789,40
Kia_Sportage,20,25,3230,5,140,0.04334365,2,4,3,M,suv2,171.3,gas,no,no,Kia,Sportage,50,40
