Day,Month,Year,Price,RelChange,Time,RiskFree
18.0,6.0,1987.0,83.0,0.0106545,87.4639,68.3492886409003
19.0,6.0,1987.0,83.375,0.00451807,87.4667,68.3621383071648
22.0,6.0,1987.0,84.0,0.00749625,87.475,68.37499038916656
23.0,6.0,1987.0,84.0,0.0,87.4778,68.38784488735972
24.0,6.0,1987.0,84.0,0.0,87.4806,68.40070180219855
25.0,6.0,1987.0,84.125,0.0014881,87.4833,68.41356113413737
26.0,6.0,1987.0,83.75,-0.00445765,87.4861,68.4264228836306
29.0,6.0,1987.0,83.875,0.00149254,87.4944,68.43928705113272
30.0,6.0,1987.0,82.625,-0.0149031,87.4972,68.45215363709835
1.0,7.0,1987.0,81.375,-0.0151286,87.5,68.46502264198213
2.0,7.0,1987.0,81.25,-0.0015361,87.5028,68.47789406623883
6.0,7.0,1987.0,80.0,-0.0153846,87.5139,68.49076791032329
7.0,7.0,1987.0,80.75,0.009375,87.5167,68.50364417469044
8.0,7.0,1987.0,81.0,0.00309598,87.5194,68.51652285979529
9.0,7.0,1987.0,80.625,-0.00462963,87.5222,68.52940396609293
10.0,7.0,1987.0,81.75,0.0139535,87.525,68.54228749403856
13.0,7.0,1987.0,83.25,0.0183486,87.5333,68.55517344408744
14.0,7.0,1987.0,85.25,0.024024,87.5361,68.56806181669494
15.0,7.0,1987.0,84.375,-0.0102639,87.5389,68.58095261231648
16.0,7.0,1987.0,83.25,-0.0133333,87.5417,68.5938458314076
17.0,7.0,1987.0,83.625,0.00450451,87.5444,68.60674147442391
20.0,7.0,1987.0,83.5,-0.00149477,87.5528,68.61963954182112
21.0,7.0,1987.0,83.25,-0.00299401,87.5556,68.63254003405498
22.0,7.0,1987.0,84.0,0.00900901,87.5583,68.64544295158139
23.0,7.0,1987.0,85.5,0.0178571,87.5611,68.6583482948563
24.0,7.0,1987.0,86.75,0.0146199,87.5639,68.67125606433574
27.0,7.0,1987.0,86.5,-0.00288184,87.5722,68.68416626047583
28.0,7.0,1987.0,86.0,-0.00578035,87.575,68.69707888373281
29.0,7.0,1987.0,86.375,0.00436047,87.5778,68.70999393456296
30.0,7.0,1987.0,86.875,0.00578871,87.5806,68.72291141342266
31.0,7.0,1987.0,88.875,0.0230216,87.5833,68.7358313207684
3.0,8.0,1987.0,87.5,-0.0154712,87.5889,68.74875365705671
4.0,8.0,1987.0,87.875,0.00428571,87.5917,68.76167842274424
5.0,8.0,1987.0,88.75,0.00995733,87.5944,68.77460561828772
6.0,8.0,1987.0,87.875,-0.00985916,87.5972,68.78753524414397
7.0,8.0,1987.0,86.875,0.00284495,87.6,68.80046730076987
10.0,8.0,1987.0,88.75,0.0215827,87.6083,68.81340178862241
11.0,8.0,1987.0,89.875,0.0126761,87.6111,68.82633870815869
12.0,8.0,1987.0,90.0,0.00139082,87.6139,68.83927805983582
13.0,8.0,1987.0,91.5,0.0166667,87.6167,68.85221984411108
14.0,8.0,1987.0,93.5,0.0218579,87.6194,68.86516406144177
17.0,8.0,1987.0,93.875,0.0040107,87.6278,68.87811071228533
18.0,8.0,1987.0,92.125,-0.0186418,87.6306,68.89105979709925
19.0,8.0,1987.0,92.25,0.00135685,87.6333,68.90401131634111
20.0,8.0,1987.0,93.625,0.0149052,87.6361,68.9169652704686
21.0,8.0,1987.0,92.0,-0.0173565,87.6389,68.92992165993945
24.0,8.0,1987.0,91.5,-0.00543478,87.6472,68.94288048521153
25.0,8.0,1987.0,91.875,0.00409836,87.65,68.95584174674276
26.0,8.0,1987.0,90.75,-0.0122449,87.6528,68.96880544499116
27.0,8.0,1987.0,89.625,-0.0123967,87.6556,68.98177158041483
28.0,8.0,1987.0,90.0,0.0041841,87.6583,68.99474015347195
31.0,8.0,1987.0,92.0,0.0222222,87.6667,69.00771116462082
1.0,9.0,1987.0,88.75,-0.0353261,87.6667,69.02068461431976
2.0,9.0,1987.0,88.0,-0.0084507,87.6694,69.03366050302726
3.0,9.0,1987.0,88.0,0.0,87.6722,69.04663883120183
4.0,9.0,1987.0,87.125,-0.00994318,87.675,69.05961959930211
8.0,9.0,1987.0,86.25,-0.010043,87.6861,69.07260280778678
9.0,9.0,1987.0,85.75,-0.0057971,87.6889,69.08558845711465
10.0,9.0,1987.0,86.0,0.00291545,87.6917,69.0985765477446
11.0,9.0,1987.0,86.125,0.00145349,87.6944,69.11156708013559
14.0,9.0,1987.0,88.625,0.0290276,87.7028,69.12456005474665
15.0,9.0,1987.0,87.625,-0.0112835,87.7056,69.13755547203695
16.0,9.0,1987.0,87.5,-0.00142653,87.7083,69.1505533324657
17.0,9.0,1987.0,87.25,-0.00285714,87.7111,69.16355363649221
18.0,9.0,1987.0,85.5,-0.0200573,87.7139,69.17655638457587
21.0,9.0,1987.0,85.0,-0.00584795,87.7222,69.18956157717618
22.0,9.0,1987.0,86.5,0.0176471,87.725,69.2025692147527
23.0,9.0,1987.0,86.25,-0.00289017,87.7278,69.21557929776507
24.0,9.0,1987.0,84.625,-0.0188406,87.7306,69.22859182667305
25.0,9.0,1987.0,84.5,-0.00147711,87.7333,69.24160680193647
28.0,9.0,1987.0,83.125,-0.0162722,87.7417,69.25462422401525
29.0,9.0,1987.0,83.0,-0.00150376,87.7444,69.26764409336937
30.0,9.0,1987.0,83.0,0.0,87.7472,69.28066641045893
1.0,10.0,1987.0,84.25,0.0150602,87.75,69.2936911757441
2.0,10.0,1987.0,82.5,-0.0207715,87.7528,69.30671838968514
5.0,10.0,1987.0,81.375,-0.0136364,87.7611,69.31974805274241
6.0,10.0,1987.0,80.0,-0.0168971,87.7639,69.33278016537633
7.0,10.0,1987.0,78.25,-0.021875,87.7667,69.34581472804743
8.0,10.0,1987.0,76.25,-0.0255591,87.7694,69.35885174121631
9.0,10.0,1987.0,74.5,-0.0229508,87.7722,69.37189120534367
12.0,10.0,1987.0,73.875,-0.00838926,87.7806,69.38493312089028
13.0,10.0,1987.0,75.375,0.0203046,87.7833,69.39797748831701
14.0,10.0,1987.0,73.0,-0.0315091,87.7861,69.41102430808482
15.0,10.0,1987.0,70.875,-0.0291096,87.7889,69.42407358065475
16.0,10.0,1987.0,66.0,-0.0687831,87.7917,69.43712530648791
19.0,10.0,1987.0,52.125,-0.210227,87.8,69.45017948604554
20.0,10.0,1987.0,59.75,0.146283,87.8028,69.46323611978892
21.0,10.0,1987.0,62.25,0.041841,87.8056,69.47629520817944
22.0,10.0,1987.0,58.0,-0.0682731,87.8083,69.48935675167859
