Time,Risk-free Rate,VW Return,Inflation,Sears,K-Mart,Penney,Mcdonalds,Citicorp,Disney,Dun&Brads,Marriott,Fluor,IBM,Centex,Exxon,Amoco,Imperial_Oil,Schlumberger,Halliburton,Can_Pacific,Delta,United,Dow,GTE,GM,Kodak,JPMorgan,Oil Port,Retail Port,Mixed Portfolio
1977.3333333333333,0.0037140550760699693,-0.012089932844994846,0.005568272029946898,-0.0336,-0.0774,-0.0973,0.0107,-0.0278,-0.0786,-0.047,-0.0132,0.0201,-0.0415,0.0255,0.0048,-0.0135,-0.0087,-0.0061,0.0229,0.0382,0.0454,0.0485,-0.0539,0.0249,0.0015,-0.0858,-0.0051,-0.00435,-0.06545,-0.0018000000000000002
1977.4166666666667,0.003986295367632338,0.05196474665514862,0.0066448298199131214,0.0546,0.0755,0.0372,0.1429,0.0529,0.1447,0.1185,0.1067,0.0855,0.0754,0.1935,0.0464,0.0287,0.0588,0.1262,0.0898,0.0625,0.007,-0.0739,-0.0199,0.07,0.0413,0.0508,0.0517,0.03755,0.045899999999999996,0.0465
1977.5,0.004169204185326684,-0.014927853595589107,0.004400173530415999,0.0043,-0.0526,0.0142,0.0201,0.0046,0.0068,0.0085,-0.0482,-0.0183,0.0156,0.0541,-0.035,-0.007,0.0123,-0.0383,-0.0749,0.0071,-0.0245,-0.0798,-0.0769,0.0039,-0.018,-0.0252,0.0174,-0.021,0.009250000000000001,-0.0002999999999999999
1977.5833333333333,0.004415194111709287,-0.014538778345655767,0.0038335932094808785,0.0769,0.1394,0.0714,0.0613,-0.0182,0.0875,0.0188,0.038,-0.0466,0.0103,-0.0513,-0.046,-0.0815,-0.0634,0.0171,-0.0445,-0.0282,0.005,0.048,-0.0198,-0.025,0.007,0.0694,-0.0415,-0.06375,0.07415,-0.01725
1977.6666666666667,0.00433298007689733,0.0007452165156092454,0.003820334925508201,-0.0321,-0.0163,-0.04,0.005,-0.0689,-0.0207,-0.0083,-0.0244,0.0228,-0.0275,0.156,-0.0052,-0.0155,-0.0132,0.0265,0.0192,-0.0145,-0.0538,0.0128,0.0178,0.02,0.0424,-0.002,-0.0102,-0.01035,-0.03605,0.0161
1977.75,0.004927175764151581,-0.03989977257632771,0.0027168687182400706,-0.0373,-0.0124,-0.0522,-0.054,-0.1005,-0.0823,-0.0336,-0.0875,-0.0609,-0.0144,-0.1484,-0.0233,0.0026,-0.1,-0.031,-0.0083,-0.1029,0.0189,-0.1139,-0.0723,-0.0431,-0.0478,-0.1423,-0.0883,-0.010350000000000002,-0.04475,-0.06805
1977.8333333333333,0.005000972741407963,0.04401052311626783,0.004878086072458099,0.0471,-0.0121,0.0667,0.0794,0.0503,0.1793,0.0369,0.1781,0.0273,0.036,0.0092,0.0027,-0.0204,0.1091,0.0885,0.0901,0.0492,0.0833,0.1014,-0.0649,0.0553,0.0,-0.0043,0.0256,-0.00885,0.0569,0.0128
1977.9166666666667,0.0048674898840166785,0.006927154445426047,0.00377569249031609,-0.0705,-0.0641,-0.0139,0.0098,-0.0153,-0.0484,0.0508,0.0958,-0.002,0.036,0.012,0.035,0.0732,0.0676,0.0107,0.0117,0.0043,0.1035,0.0915,0.0019,-0.0158,-0.0176,-0.0097,-0.0322,0.0541,-0.042199999999999994,-0.0249
1978.0,0.0048934249153529475,-0.05691040698717819,0.005373155886743776,-0.0982,-0.0959,-0.0459,-0.1165,-0.1148,-0.1719,-0.121,-0.0638,-0.1208,-0.0293,-0.0811,-0.0493,-0.0707,-0.1329,-0.0756,-0.0902,-0.04,-0.0281,0.0,-0.0467,-0.0883,-0.0736,-0.1051,-0.0523,-0.06,-0.07205,-0.06295
1978.0833333333333,0.004598362402518936,-0.011237974415900225,0.006948015451803261,-0.0226,0.0107,-0.0037,-0.0181,-0.0185,-0.0226,0.0389,0.0027,-0.0649,-0.0428,0.0294,-0.0208,-0.0228,-0.0101,-0.0279,-0.0405,0.0167,-0.0334,-0.0263,-0.1177,0.0241,0.0193,-0.0678,-0.0245,-0.0218,-0.013149999999999998,-0.0026
1978.1666666666667,0.005287737602161447,0.0325467512055342,0.007000183300150849,-0.0773,-0.0402,0.0712,0.0252,0.0586,0.0025,0.0357,0.1477,0.0629,-0.0627,0.0602,0.0142,0.0339,0.0299,0.0272,0.0177,-0.0082,0.0702,0.0745,0.0578,0.0439,0.0535,0.0,0.0799,0.024050000000000002,-0.003049999999999997,0.0667
