Time,T-Bills,VWD Index ,CPI,Risk-free Rate,VW Return,Inflation,Excess TBill,Excess VWD,Date
1966.1666666666667,71.535309,60.236,75.647598,0.0038456799129613127,-0.02090309157699687,0.0031249162102204697,-4.112289000000004,-15.411598000000005,660331.0
1966.25,71.779961,61.73,75.961823,0.0034200173791099735,0.024802443721362637,0.00415380009818677,-4.181861999999995,-14.231822999999999,660429.0
1966.3333333333333,72.076141,58.49,76.040367,0.004126221244394474,-0.05248663534748089,0.0010339930888705494,-3.9642259999999965,-17.550367,660531.0
1966.4166666666667,72.346939,57.886,76.276031,0.0037571101371811676,-0.010326551547273024,0.0030991959836280097,-3.929091999999997,-18.390031,660630.0
1966.5,72.603271,57.141,76.511726,0.0035430939241258078,-0.012870124036900191,0.003090027062367635,-3.9084549999999894,-19.370725999999998,660729.0
1966.5833333333333,72.90107,52.835,76.904457,0.004101729796719457,-0.07535744911709626,0.005132951777875168,-4.003386999999989,-24.069456999999993,660831.0
1966.6666666666667,73.192909,52.468,77.061562,0.004003219705828679,-0.006946153118198114,0.0020428594925259195,-3.868652999999995,-24.59356199999999,660930.0
1966.75,73.524673,54.689,77.375732,0.004532734175109871,0.04233056339101922,0.004076870385783308,-3.8510589999999922,-22.686732,661031.0
1966.8333333333333,73.81694,55.646,77.375732,0.003975087383251543,0.01749894860026698,0.0,-3.558791999999997,-21.729732,661130.0
1966.9166666666667,74.113617,55.992,77.454292,0.004019091010816793,0.006217877295762436,0.0010153054190168561,-3.3406749999999903,-21.462291999999998,661230.0
1967.0,74.433273,60.78,77.454292,0.004313053564771975,0.08551221603086162,0.0,-3.0210189999999955,-16.674291999999994,670131.0
1967.0833333333333,74.698997,61.444,77.532837,0.003569962589177099,0.010924646265218847,0.0010140819568785861,-2.833839999999995,-16.088836999999998,670228.0
1967.1666666666667,74.990181,64.111,77.689911,0.0038980978553166006,0.04340537725408505,0.002025902908724911,-2.699729999999988,-13.57891099999999,670331.0
1967.25,75.233749,66.778,77.847008,0.003247998561304929,0.041599725476127364,0.0020221029729330926,-2.6132589999999993,-11.069007999999997,670428.0
1967.3333333333333,75.484558,64.151,78.082626,0.0033337299195339027,-0.03933930336338329,0.0030266802289948295,-2.598067999999998,-13.931626000000009,670531.0
1967.4166666666667,75.685341,65.875,78.318291,0.0026599215166628787,0.026874093934623058,0.003018149005388181,-2.632950000000008,-12.443291000000002,670630.0
1967.5,75.923767,69.114,78.71106,0.003150226937604787,0.049168880455408036,0.005015035376601888,-2.7872930000000053,-9.597059999999999,670731.0
1967.5833333333333,76.160027,68.683,78.946716,0.003111805556223277,-0.00623607373325227,0.0029939375737030047,-2.7866889999999955,-10.263715999999988,670831.0
1967.6666666666667,76.40406,71.038,79.103821,0.0032042136749767924,0.034287960630723605,0.001990013112135043,-2.699760999999995,-8.065821,670929.0
1967.75,76.705109,69.09,79.339478,0.003940222548382794,-0.027421943185337333,0.0029790849167703713,-2.6343690000000066,-10.249477999999996,671031.0
1967.8333333333333,76.977463,69.637,79.575104,0.0035506630985949984,0.007917209436966232,0.002969845604479479,-2.597640999999996,-9.938103999999996,671130.0
1967.9166666666667,77.234016,71.983,79.810806,0.0033328326240109614,0.033688987176357446,0.0029620068105723546,-2.5767900000000026,-7.827805999999995,671229.0
1968.0,77.546211,69.366,80.125023,0.004042195604589598,-0.03635580623202707,0.003937023264744367,-2.578811999999999,-10.759023,680131.0
1968.0833333333333,77.846642,67.035,80.36068,0.003874218947976752,-0.033604359484473705,0.002941116160428476,-2.5140379999999993,-13.325680000000006,680229.0
1968.1666666666667,78.142693,67.376,80.753487,0.003803002832158019,0.005086894905646427,0.004888049727802263,-2.6107940000000127,-13.377487000000002,680329.0
1968.25,78.47805,73.715,80.989113,0.00429159768015676,0.0940839468059843,0.0029178430400162944,-2.511063000000007,-7.274113,680430.0
1968.3333333333333,78.828072,75.708,81.224808,0.004460126111696326,0.027036559723258427,0.0029102059680539117,-2.39673599999999,-5.5168079999999975,680531.0
1968.4166666666667,79.163193,76.581,81.696129,0.004251290073414467,0.011531145981930637,0.005802672996161508,-2.5329359999999923,-5.115128999999996,680628.0
1968.5,79.540871,74.892,82.088943,0.004770878809802288,-0.02205507893602861,0.004808232713204824,-2.5480720000000048,-7.1969430000000045,680730.0
1968.5833333333333,79.87661,76.244,82.3246,0.004220962076213672,0.01805266250066768,0.0028707520329504465,-2.4479900000000043,-6.080600000000004,680830.0
1968.6666666666667,80.216652,79.632,82.560303,0.004257091030778558,0.04443628351083371,0.002863093170206729,-2.3436510000000084,-2.9283029999999997,680930.0
1968.75,80.566704,80.353,83.031754,0.004363832088130594,0.009054149085794522,0.005710383596823789,-2.465050000000005,-2.678754000000012,681031.0
1968.8333333333333,80.908707,85.054,83.345917,0.004244967002746015,0.05850434955757729,0.0037836488435495836,-2.437209999999993,1.708083000000002,681129.0
1968.9166666666667,81.254669,82.172,83.581619,0.0042759551206275,-0.03388435582100789,0.00282799696114692,-2.3269499999999965,-1.4096190000000064,681231.0
1969.0,81.682663,81.62,83.817322,0.005267315777263189,-0.006717616706420588,0.002820033912001643,-2.134658999999999,-2.1973219999999998,690131.0
1969.0833333333333,82.059219,77.243,84.131622,0.00460998682180567,-0.05362656211712827,0.0037498215464339063,-2.072402999999994,-6.888621999999998,690228.0
1969.1666666666667,82.440063,79.599,84.8386,0.004641087310372723,0.030501145734888713,0.008403237488990842,-2.3985370000000046,-5.239599999999996,690328.0
1969.25,82.879539,81.235,85.388428,0.005330854732607362,0.02055302202288968,0.006480870735726486,-2.5088890000000106,-4.153428000000005,690430.0
1969.3333333333333,83.280083,81.646,85.624092,0.004832845414355052,0.005059395580722612,0.002759905592828104,-2.344009,-3.9780920000000037,690529.0
1969.4166666666667,83.706413,76.152,86.173973,0.005119231209219532,-0.06729049800357641,0.0064220359849188145,-2.467560000000006,-10.021973000000003,690630.0
1969.5,84.151314,71.195,86.56678,0.0053150169031852025,-0.06509349721609423,0.0045583020757322,-2.415465999999995,-15.371780000000001,690731.0
1969.5833333333333,84.576172,74.862,86.959541,0.005048738751720507,0.05150642601306274,0.004537086859416594,-2.383369000000002,-12.097541000000007,690829.0
1969.6666666666667,85.101723,73.172,87.35231,0.006213936946685258,-0.02257487109615022,0.004516686673863668,-2.250586999999996,-14.180310000000006,690930.0
1969.75,85.609283,77.242,87.666527,0.005964156565901703,0.05562236921226709,0.003597122961029872,-2.057243999999997,-10.424526999999998,691031.0
1969.8333333333333,86.050697,74.758,88.137802,0.005156146442670179,-0.032158670153543525,0.005375769020711765,-2.087104999999994,-13.379801999999998,691128.0
1969.9166666666667,86.604401,73.287,88.687798,0.006434625392981955,-0.019676823885069018,0.006240182844587017,-2.083397000000005,-15.400797999999995,691231.0
1970.0,87.127861,67.919,89.002022,0.00604426557952869,-0.07324627833039977,0.003543035311351352,-1.8741610000000009,-21.083022,700130.0
1970.0833333333333,87.66629,71.771,89.473381,0.006179756897739149,0.05671461593957514,0.005296048217870901,-1.8070909999999998,-17.702381000000003,700227.0
1970.1666666666667,88.166428,71.432,89.94474,0.005705020709784714,-0.004723356230232247,0.005268147852823316,-1.7783119999999997,-18.512739999999994,700331.0
1970.25,88.611053,63.909,90.494659,0.005043019322502235,-0.10531694478665028,0.006113965085673745,-1.8836060000000003,-26.585659,700430.0
1970.3333333333333,89.078041,59.797,90.887383,0.00527008746865925,-0.0643414855497661,0.004339747829758673,-1.809342000000001,-31.090383000000003,700529.0
1970.4166666666667,89.595703,56.74,91.358749,0.005811331212369179,-0.051122966035085295,0.005186264412520309,-1.7630460000000028,-34.618749,700630.0
1970.5,90.064461,60.95,91.67292,0.005231925017653961,0.07419809658089532,0.0034388715195739134,-1.6084590000000105,-30.722920000000002,700731.0
1970.5833333333333,90.545372,64.001,91.830017,0.005339631133749927,0.05005742411812964,0.0017136685511925786,-1.2846449999999976,-27.829016999999993,700831.0
1970.6666666666667,91.031433,67.039,92.301392,0.005368148468151487,0.047468008312370066,0.005133125479003331,-1.269959,-25.262392000000006,700930.0
1970.75,91.45018,65.821,92.772713,0.004600026454598338,-0.018168528766837267,0.00510632602377209,-1.3225329999999929,-26.951712999999998,701030.0
1970.8333333333333,91.866653,69.142,93.086922,0.004554097105112273,0.05045502195347986,0.0033868687229186164,-1.2202690000000018,-23.944922000000005,701130.0
1970.9166666666667,92.255501,73.339,93.558197,0.004232743735640351,0.06070116571693042,0.005062741251665896,-1.3026960000000116,-20.21919700000001,701231.0
1971.0,92.608223,77.155,93.636787,0.0038233167255793234,0.052032342955317126,0.0008400119125851823,-1.028564000000003,-16.481786999999997,710129.0
1971.0833333333333,92.915382,78.457,93.793938,0.003316757303506392,0.01687512150865132,0.001678304062269874,-0.8785560000000032,-15.336938000000004,710226.0
1971.1666666666667,93.192177,81.971,94.108162,0.0029790008289478595,0.04478886523828352,0.0033501525439735332,-0.9159849999999921,-12.13716199999999,710331.0
