Date,Cases,Deaths,Day of year,Week of year,Percent Change
2014-07-17,1048.0,632.0,198.0,28.285714285714285,0.02240325865580448
2014-07-20,1093.0,660.0,201.0,28.714285714285715,0.014312977099236643
2014-07-23,1201.0,672.0,204.0,29.142857142857142,0.032936870997255265
2014-07-27,1323.0,729.0,208.0,29.714285714285715,0.0253955037468776
2014-07-30,1440.0,826.0,211.0,30.142857142857142,0.02947845804988662
2014-08-01,1603.0,887.0,213.0,30.428571428571427,0.05659722222222222
2014-08-04,1711.0,932.0,216.0,30.857142857142858,0.022457891453524642
2014-08-06,1779.0,961.0,218.0,31.142857142857142,0.019871420222092345
2014-08-09,1848.0,1013.0,221.0,31.571428571428573,0.012928611579539067
2014-08-11,1975.0,1069.0,223.0,31.857142857142858,0.034361471861471864
2014-08-13,2127.0,1145.0,225.0,32.142857142857146,0.03848101265822785
2014-08-16,2240.0,1229.0,228.0,32.57142857142857,0.017708823068484564
2014-08-18,2473.0,1350.0,230.0,32.857142857142854,0.052008928571428574
2014-08-20,2615.0,1427.0,232.0,33.142857142857146,0.028710068742418115
2014-08-25,3071.0,1553.0,237.0,33.857142857142854,0.034875717017208416
2014-08-31,3707.0,1848.0,243.0,34.714285714285715,0.034516444154998376
2014-09-03,4001.0,2089.0,246.0,35.142857142857146,0.026436471540329107
2014-09-07,4366.0,2177.0,250.0,35.714285714285715,0.022806798300424893
2014-09-10,4846.0,2375.0,253.0,36.142857142857146,0.03664681630783326
2014-09-14,5347.0,2630.0,257.0,36.714285714285715,0.02584605860503508
2014-09-17,5762.0,2746.0,260.0,37.142857142857146,0.02587120503709245
2014-09-21,6263.0,2900.0,264.0,37.714285714285715,0.02173724401249566
2014-09-23,6574.0,3091.0,266.0,38.0,0.0248283570174038
2014-09-25,6808.0,3159.0,268.0,38.285714285714285,0.017797383632491635
2014-09-28,7192.0,3286.0,271.0,38.714285714285715,0.01880141010575793
2014-10-01,7492.0,3439.0,274.0,39.142857142857146,0.013904338153503892
2014-10-05,8011.0,3857.0,278.0,39.714285714285715,0.017318473037907102
2014-10-07,8386.0,3988.0,280.0,40.0,0.023405317688178755
2014-10-12,8997.0,4493.0,285.0,40.714285714285715,0.014571905556880515
2014-10-17,9693.0,4811.0,290.0,41.42857142857143,0.015471823941313773
2014-10-19,9936.0,4877.0,292.0,41.714285714285715,0.012534818941504178
2014-10-24,12008.0,5078.0,297.0,42.42857142857143,0.04170692431561997
