Time_mins,Time_secs,SEX,AGE,Finish_Time
28.0,5.0,M,11.0,28.083333333333332
28.0,6.0,M,41.0,28.1
28.0,6.0,F,29.0,28.1
28.0,7.0,M,50.0,28.116666666666667
28.0,13.0,M,35.0,28.216666666666665
28.0,14.0,F,47.0,28.233333333333334
28.0,20.0,M,45.0,28.333333333333332
28.0,21.0,M,11.0,28.35
28.0,26.0,M,42.0,28.433333333333334
28.0,27.0,F,32.0,28.45
28.0,28.0,M,64.0,28.466666666666665
28.0,29.0,M,53.0,28.483333333333334
28.0,31.0,F,29.0,28.516666666666666
28.0,33.0,F,52.0,28.55
28.0,34.0,F,54.0,28.566666666666666
28.0,35.0,M,40.0,28.583333333333332
28.0,36.0,M,7.0,28.6
28.0,43.0,F,56.0,28.716666666666665
28.0,45.0,F,43.0,28.75
28.0,47.0,M,45.0,28.783333333333335
28.0,49.0,M,33.0,28.816666666666666
28.0,50.0,F,49.0,28.833333333333332
28.0,50.0,M,51.0,28.833333333333332
28.0,51.0,F,48.0,28.85
28.0,52.0,M,46.0,28.866666666666667
28.0,54.0,F,36.0,28.9
28.0,56.0,F,19.0,28.933333333333334
28.0,57.0,M,51.0,28.95
28.0,58.0,F,46.0,28.966666666666665
28.0,59.0,F,43.0,28.983333333333334
29.0,0.0,M,60.0,29.0
29.0,1.0,F,51.0,29.016666666666666
29.0,2.0,F,46.0,29.033333333333335
29.0,4.0,F,51.0,29.066666666666666
29.0,5.0,M,48.0,29.083333333333332
29.0,8.0,M,15.0,29.133333333333333
29.0,9.0,F,48.0,29.15
29.0,11.0,M,58.0,29.183333333333334
29.0,12.0,F,29.0,29.2
29.0,15.0,F,34.0,29.25
29.0,17.0,F,33.0,29.283333333333335
29.0,17.0,F,34.0,29.283333333333335
29.0,18.0,M,47.0,29.3
29.0,21.0,F,11.0,29.35
29.0,24.0,F,30.0,29.4
29.0,25.0,M,59.0,29.416666666666668
29.0,30.0,M,33.0,29.5
29.0,36.0,M,62.0,29.6
29.0,42.0,M,36.0,29.7
29.0,43.0,F,48.0,29.716666666666665
29.0,45.0,F,16.0,29.75
29.0,46.0,F,45.0,29.766666666666666
29.0,47.0,F,39.0,29.783333333333335
29.0,49.0,M,37.0,29.816666666666666
29.0,50.0,F,39.0,29.833333333333332
29.0,56.0,F,39.0,29.933333333333334
29.0,56.0,F,41.0,29.933333333333334
29.0,56.0,F,30.0,29.933333333333334
29.0,57.0,M,42.0,29.95
30.0,1.0,M,47.0,30.016666666666666
30.0,5.0,M,44.0,30.083333333333332
30.0,6.0,M,31.0,30.1
30.0,7.0,F,60.0,30.116666666666667
30.0,8.0,F,33.0,30.133333333333333
30.0,8.0,F,25.0,30.133333333333333
30.0,9.0,F,30.0,30.15
30.0,11.0,F,54.0,30.183333333333334
30.0,12.0,M,38.0,30.2
30.0,13.0,M,55.0,30.216666666666665
30.0,20.0,M,63.0,30.333333333333332
30.0,21.0,F,32.0,30.35
30.0,22.0,F,39.0,30.366666666666667
30.0,24.0,M,20.0,30.4
30.0,25.0,M,9.0,30.416666666666668
30.0,33.0,F,41.0,30.55
30.0,34.0,M,40.0,30.566666666666666
30.0,37.0,M,8.0,30.616666666666667
30.0,42.0,F,44.0,30.7
30.0,46.0,F,36.0,30.766666666666666
30.0,50.0,F,38.0,30.833333333333332
30.0,50.0,M,28.0,30.833333333333332
30.0,53.0,F,37.0,30.883333333333333
30.0,54.0,M,10.0,30.9
30.0,57.0,M,7.0,30.95
30.0,58.0,M,53.0,30.966666666666665
30.0,58.0,F,44.0,30.966666666666665
30.0,59.0,M,45.0,30.983333333333334
31.0,1.0,M,48.0,31.016666666666666
31.0,2.0,F,13.0,31.033333333333335
31.0,8.0,F,13.0,31.133333333333333
31.0,9.0,M,11.0,31.15
31.0,10.0,F,42.0,31.166666666666668
31.0,20.0,F,11.0,31.333333333333332
31.0,22.0,F,44.0,31.366666666666667
31.0,25.0,F,38.0,31.416666666666668
31.0,27.0,F,40.0,31.45
31.0,28.0,M,70.0,31.466666666666665
31.0,29.0,M,44.0,31.483333333333334
31.0,32.0,F,18.0,31.533333333333335
31.0,35.0,M,13.0,31.583333333333332
31.0,41.0,M,43.0,31.683333333333334
31.0,52.0,M,55.0,31.866666666666667
32.0,2.0,F,23.0,32.03333333333333
32.0,4.0,M,33.0,32.06666666666667
32.0,10.0,M,10.0,32.166666666666664
32.0,19.0,F,30.0,32.31666666666667
32.0,24.0,F,17.0,32.4
32.0,24.0,F,45.0,32.4
32.0,25.0,F,50.0,32.416666666666664
32.0,26.0,F,19.0,32.43333333333333
32.0,26.0,F,20.0,32.43333333333333
32.0,26.0,M,47.0,32.43333333333333
32.0,34.0,F,57.0,32.56666666666667
32.0,41.0,M,36.0,32.68333333333333
32.0,47.0,F,25.0,32.78333333333333
32.0,50.0,F,16.0,32.833333333333336
32.0,51.0,F,33.0,32.85
32.0,59.0,M,47.0,32.983333333333334
33.0,5.0,F,49.0,33.083333333333336
33.0,9.0,F,38.0,33.15
33.0,10.0,F,29.0,33.166666666666664
33.0,11.0,M,8.0,33.18333333333333
33.0,11.0,F,35.0,33.18333333333333
33.0,16.0,F,34.0,33.266666666666666
33.0,25.0,F,15.0,33.416666666666664
33.0,29.0,F,25.0,33.483333333333334
33.0,31.0,F,40.0,33.516666666666666
33.0,36.0,M,44.0,33.6
33.0,38.0,F,30.0,33.63333333333333
33.0,44.0,F,28.0,33.733333333333334
33.0,57.0,M,52.0,33.95
34.0,11.0,F,43.0,34.18333333333333
34.0,19.0,F,39.0,34.31666666666667
34.0,24.0,F,11.0,34.4
34.0,26.0,M,65.0,34.43333333333333
34.0,33.0,M,65.0,34.55
34.0,40.0,M,47.0,34.666666666666664
34.0,47.0,F,29.0,34.78333333333333
34.0,57.0,M,70.0,34.95
35.0,6.0,F,45.0,35.1
35.0,23.0,F,59.0,35.38333333333333
35.0,29.0,F,36.0,35.483333333333334
35.0,30.0,F,29.0,35.5
35.0,34.0,M,65.0,35.56666666666667
35.0,35.0,F,20.0,35.583333333333336
35.0,35.0,F,41.0,35.583333333333336
35.0,36.0,M,61.0,35.6
35.0,51.0,F,37.0,35.85
35.0,52.0,F,44.0,35.86666666666667
36.0,6.0,F,36.0,36.1
36.0,23.0,F,38.0,36.38333333333333
36.0,31.0,F,37.0,36.516666666666666
36.0,44.0,F,17.0,36.733333333333334
36.0,50.0,F,24.0,36.833333333333336
36.0,55.0,F,49.0,36.916666666666664
36.0,56.0,F,49.0,36.93333333333333
37.0,7.0,F,32.0,37.11666666666667
37.0,8.0,F,33.0,37.13333333333333
37.0,18.0,F,49.0,37.3
37.0,24.0,M,50.0,37.4
37.0,35.0,F,43.0,37.583333333333336
37.0,35.0,F,43.0,37.583333333333336
37.0,52.0,F,34.0,37.86666666666667
38.0,18.0,F,43.0,38.3
38.0,22.0,F,50.0,38.36666666666667
38.0,26.0,F,26.0,38.43333333333333
38.0,41.0,M,56.0,38.68333333333333
39.0,11.0,F,37.0,39.18333333333333
39.0,19.0,M,10.0,39.31666666666667
39.0,34.0,M,42.0,39.56666666666667
39.0,37.0,F,8.0,39.61666666666667
39.0,38.0,M,42.0,39.63333333333333
39.0,39.0,M,24.0,39.65
39.0,39.0,F,7.0,39.65
40.0,16.0,F,33.0,40.266666666666666
40.0,36.0,M,39.0,40.6
40.0,39.0,F,37.0,40.65
40.0,50.0,F,34.0,40.833333333333336
40.0,51.0,M,34.0,40.85
40.0,59.0,F,15.0,40.983333333333334
46.0,18.0,F,18.0,46.3
46.0,50.0,F,16.0,46.833333333333336
46.0,55.0,M,47.0,46.916666666666664
